district,address,room_count,area,floors,house_type,price,latitude,longitude
Iļģuciems,Baltā 17,2,50,4/5,LT proj.,"35,000  €",56.9699771,24.0655410145407
centrs,Valdemāra 69,2,55,1/6,Renov.,"99,800  €",56.9620417,24.1224439
Āgenskalns,Gregora 8,3,59,4/10,467.,"75,000  €",,
Purvciems,Ūnijas 78,1,30,2/5,LT proj.,"35,000  €",56.9600274,24.18377093217135
Purvciems,Mārcienas 6,2,57,4/9,119.,"57,000  €",56.9540573,24.1665288
Purvciems,Andromedas g. 5B,1,42,2/5,M. ģim.,"44,500  €",56.9604406,24.1986457
Teika,Biķernieku 24,1,35,1/2,P. kara,"42,000  €",56.9698781,24.183727
Āgenskalns,Ļermontova 3,2,52,2/2,Renov.,"79,500  €",56.94047275,24.07170967717864
centrs,Stabu 77,2,51,5/6,P. kara,"109,000  €",56.95260235,24.137179285051328
Purvciems,Ilūkstes 101k2,2,49,6/9,467.,"59,000  €",56.95231505,24.19385587970239
Zolitūde,Endzelīna 7,3,80,10/10,119.,"75,300  €",56.94677825,24.02464491193749
Zolitūde,Bieziņa 7,4,96,6/10,119.,"98,000  €",56.9452295,24.02045662144952
centrs,Bruņinieku 121b,1,35,1/5,Renov.,"70,000  €",56.961172,24.1229335
centrs,Dārzaugļu 1,4,111,6/6,Jaun.,"229,000  €",56.964818,24.1504388
Pļavnieki,Salnas 21,2,46,8/9,Jaun.,"92,000  €",56.942327,24.23009287799782
Āgenskalns,Mērsraga 9A,2,52,2/3,Renov.,"85,830  €",56.93499105,24.06341325
Pļavnieki,Pļavnieku 9,1,54,4/9,Jaun.,"98,500  €",56.94203495,24.21275136511194
Āgenskalns,Mērsraga 9,2,48,1/4,Renov.,"71,606  €",56.9349022,24.063902286829965
Jugla,Vidzemes al. 4,2,46,5/5,Hrušč.,"52,000  €",56.9925634,24.2424634
Jugla,Mārkalnes 9,1,32,1/5,M. ģim.,"32,000  €",56.9934003,24.22881077431854
Zolitūde,Apuzes 51a,3,85,2/3,Jaun.,"169,500  €",56.94199225,24.02071591989336
Vecrīga,Miesnieku 14,3,79,4/4,Renov.,"173,000  €",56.9488883,24.1023279
